ROW_CSS_CLASS	name	name_HREF	bash	mksh	ksh	toysh	sush	brush	osh
cpp-good	TOTAL		-96	-820	-785	-1428	-934	-709	0
cpp-good	alias	alias.html	4	-1	-2	-40	-11	-22	0
cpp-good	append	append.html	-4	-7	-7	-15	-9	-11	0
cpp-good	arith	arith.html	-8	-19	-18	-31	-11	-12	0
cpp-good	arith-context	arith-context.html	-1	-6	-5	-8	-4	-8	0
cpp-good	arith-dynamic	arith-dynamic.html	3	0	0	2	3	2	0
cpp-good	array	array.html	-13	-35	-31	-68	-30	-29	0
cpp-good	array-assign	array-assign.html	8	6	6	0	6	0	0
cpp-good	array-assoc	array-assoc.html	-4	-31	-31	-38	-27	-11	0
cpp-good	array-basic	array-basic.html	0	0	0	-5	-1	0	0
cpp-good	array-compat	array-compat.html	5	2	2	-7	3	2	0
cpp-good	array-literal	array-literal.html	-4	-8	-8	-8	-6	-5	0
cpp-good	array-sparse	array-sparse.html	-17	-32	-31	-38	-30	-23	0
cpp-good	assign	assign.html	-8	-11	-10	-24	-22	-9	0
cpp-good	assign-deferred	assign-deferred.html	6	4	4	0	2	2	0
cpp-good	assign-dialects	assign-dialects.html	0	0	0	-1	0	1	0
cpp-good	assign-extended	assign-extended.html	-13	-29	-28	-35	-30	-18	0
cpp-good	background	background.html	0	-3	-2	-14	-11	-14	0
cpp-good	ble-features	ble-features.html	4	-3	-2	-5	-3	1	0
cpp-good	ble-idioms	ble-idioms.html	-1	-15	-14	-24	-10	-11	0
cpp-good	ble-unset	ble-unset.html	-3	1	-2	-1	-1	-3	0
cpp-good	blog1	blog1.html	3	1	2	-5	-3	-1	0
cpp-good	blog2	blog2.html	0	-1	0	-1	-6	-1	0
cpp-good	brace-expansion	brace-expansion.html	-4	-18	-18	-12	-8	-22	0
cpp-good	bugs	bugs.html	-5	-9	-9	-14	-10	-9	0
cpp-good	builtin-bash	builtin-bash.html	4	-9	-9	-8	-9	1	0
cpp-good	builtin-bind	builtin-bind.html	7	-2	-2	-2	-1	-1	0
cpp-good	builtin-bracket	builtin-bracket.html	-3	-7	-4	-12	-8	-10	0
cpp-good	builtin-cd	builtin-cd.html	3	-5	-5	-9	-6	-1	0
cpp-good	builtin-completion	builtin-completion.html	-6	-47	-47	-48	-31	-16	0
cpp-good	builtin-dirs	builtin-dirs.html	0	-16	-16	-16	-16	0	0
cpp-good	builtin-echo	builtin-echo.html	0	-7	-6	-13	-5	-4	0
cpp-good	builtin-eval-source	builtin-eval-source.html	-3	-10	-9	-13	-7	-8	0
cpp-good	builtin-getopts	builtin-getopts.html	1	-4	-4	-21	-8	-14	0
cpp-good	builtin-history	builtin-history.html	-8	-8	-8	-8	-8	-8	0
cpp-good	builtin-kill	builtin-kill.html	2	1	1	0	0	0	0
cpp-good	builtin-meta	builtin-meta.html	-2	-4	-5	-16	-11	-6	0
cpp-good	builtin-meta-assign	builtin-meta-assign.html	-5	-6	-6	-11	-11	-7	0
cpp-good	builtin-misc	builtin-misc.html	-4	-4	-4	-5	-5	-4	0
cpp-good	builtin-printf	builtin-printf.html	11	-8	-6	-8	-29	-7	0
cpp-good	builtin-process	builtin-process.html	-5	-7	-7	-20	-18	-9	0
cpp-good	builtin-read	builtin-read.html	-3	-16	-15	-44	-25	-13	0
cpp-good	builtin-special	builtin-special.html	-4	-1	0	-6	-7	-3	0
cpp-good	builtin-times	builtin-times.html	0	0	0	-1	-1	0	0
cpp-good	builtin-trap	builtin-trap.html	2	-2	-1	-20	-6	-12	0
