ROW_CSS_CLASS	name	name_HREF	bash	dash	ash	zsh	mksh	ksh	toysh	sush	brush	osh
cpp-good	TOTAL		0	-1178	-973	-899	-730	-694	-1353	-789	-611	109
cpp-good	alias	alias.html	0	-5	-4	-7	-5	-6	-43	-15	-27	-4
cpp-good	append	append.html	0	-14	-14	-6	-3	-3	-11	-1	-7	4
cpp-good	arith	arith.html	0	-34	-21	-18	-11	-10	-23	-3	-4	8
cpp-good	arith-context	arith-context.html	0	-12	-9	-6	-5	-4	-7	-3	-7	1
cpp-good	arith-dynamic	arith-dynamic.html	0	-4	-3	-3	-3	-3	-1	0	-1	-3
cpp-good	array	array.html	0	-56	-56	-38	-22	-18	-55	-8	-16	13
cpp-good	array-assign	array-assign.html	0	-9	-9	-7	-2	-2	-8	0	-8	-8
cpp-good	array-assoc	array-assoc.html	0	-34	-34	-24	-27	-27	-34	-8	-7	4
cpp-good	array-basic	array-basic.html	0	-5	-5	-3	0	0	-5	0	0	0
cpp-good	array-compat	array-compat.html	0	-11	-11	-10	-3	-3	-12	-1	-3	-5
cpp-good	array-literal	array-literal.html	0	-12	-12	-11	-12	-12	-12	-6	-7	7
cpp-good	array-sparse	array-sparse.html	0	-21	-21	-21	-15	-14	-21	-10	-6	17
cpp-good	assign	assign.html	0	-14	-8	-1	-3	-2	-15	-8	0	9
cpp-good	assign-deferred	assign-deferred.html	0	-5	-5	-5	0	0	-6	-3	-1	-2
cpp-good	assign-dialects	assign-dialects.html	0	-4	-4	-4	-3	-1	-4	-3	-2	-3
cpp-good	assign-extended	assign-extended.html	0	-23	-23	-10	-16	-15	-22	-10	-5	13
cpp-good	background	background.html	0	-6	-4	-11	-3	-2	-14	-11	-14	0
cpp-good	ble-features	ble-features.html	0	-9	-9	-7	-7	-6	-9	-6	-3	-4
cpp-good	ble-idioms	ble-idioms.html	0	-19	-17	-10	-7	-7	-23	-7	-6	-4
cpp-good	ble-unset	ble-unset.html	0	3	3	2	4	1	2	2	0	3
cpp-good	blog1	blog1.html	0	-1	0	-1	-2	-1	-8	-6	-4	-3
cpp-good	blog2	blog2.html	0	-3	-5	-3	-1	0	-1	-6	-1	0
cpp-good	brace-expansion	brace-expansion.html	0	-38	-38	-8	-14	-14	-8	-4	-15	4
cpp-good	bugs	bugs.html	0	-9	-8	-3	-4	-4	-9	-5	-3	5
cpp-good	builtin-bash	builtin-bash.html	0	-13	-12	-13	-13	-13	-12	-13	-3	-4
cpp-good	builtin-bind	builtin-bind.html	0	-9	-9	-9	-9	-9	-9	-8	-8	-7
cpp-good	builtin-bracket	builtin-bracket.html	0	-7	-5	-12	-4	-1	-9	-5	-7	3
cpp-good	builtin-cd	builtin-cd.html	0	-4	-4	-3	-8	-8	-12	-9	-4	-3
cpp-good	builtin-completion	builtin-completion.html	0	-42	-42	-42	-41	-41	-42	-26	-13	6
cpp-good	builtin-dirs	builtin-dirs.html	0	-16	-16	-5	-16	-16	-16	-16	0	0
cpp-good	builtin-echo	builtin-echo.html	0	-18	-7	-6	-7	-6	-13	-8	-4	0
cpp-good	builtin-eval-source	builtin-eval-source.html	0	-11	-7	-6	-7	-6	-10	-4	-4	3
cpp-good	builtin-fc	builtin-fc.html	0	0	0	0	0	0	0	0	0	9
cpp-good	builtin-getopts	builtin-getopts.html	0	-4	-2	-10	-5	-5	-22	-9	-15	-1
cpp-good	builtin-history	builtin-history.html	0	0	0	0	0	0	0	0	0	8
cpp-good	builtin-kill	builtin-kill.html	0	-2	-2	0	-1	-1	-2	-2	-2	-2
cpp-good	builtin-meta	builtin-meta.html	0	-7	-7	-4	-2	-3	-14	-8	-4	2
cpp-good	builtin-meta-assign	builtin-meta-assign.html	0	-5	-3	-2	-1	-1	-6	-6	-2	5
cpp-good	builtin-misc	builtin-misc.html	0	0	1	0	0	0	-1	-1	0	4
cpp-good	builtin-printf	builtin-printf.html	0	-17	-19	-15	-19	-17	-18	-38	-17	-11
cpp-good	builtin-process	builtin-process.html	0	-4	-1	-1	-2	-2	-15	-13	-4	5
cpp-good	builtin-read	builtin-read.html	0	-30	-8	-29	-17	-16	-46	-25	-15	3
cpp-good	builtin-special	builtin-special.html	0	1	-1	1	3	4	-2	-2	1	4
cpp-good	builtin-times	builtin-times.html	0	0	0	0	0	0	-1	-1	0	0
cpp-good	builtin-trap	builtin-trap.html	0	-4	-2	-8	-4	-3	-22	-9	-14	-2
cpp-good	builtin-trap-bash	builtin-trap-bash.html	0	-21	-21	-18	-21	-21	-22	-21	-21	-6
cpp-good	builtin-trap-err	builtin-trap-err.html	0	-17	-3	-9	-6	-5	-17	-17	-17	0
cpp-good	builtin-type	builtin-type.html	0	-1	-1	-3	-2	-2	-4	-2	-2	2
cpp-good	builtin-type-bash	builtin-type-bash.html	0	-28	-27	-20	-23	-23	-28	-17	1	0
cpp-good	builtin-vars	builtin-vars.html	0	-16	-14	-10	-10	-10	-16	-11	-10	2
cpp-good	case_	case_.html	0	-4	-4	-3	-2	-1	-9	-2	-3	-2
cpp-good	command_	command_.html	0	1	2	0	0	0	-3	-2	-1	2
cpp-good	command-parsing	command-parsing.html	0	1	1	1	1	1	0	0	0	-2
cpp-good	command-sub	command-sub.html	0	0	1	-5	-2	-2	-16	-1	-14	1
cpp-good	command-sub-ksh	command-sub-ksh.html	0	0	0	0	4	4	0	0	0	0
cpp-good	comments	comments.html	0	0	0	0	0	0	0	0	0	0
cpp-good	dbracket	dbracket.html	0	-42	-29	-14	-13	-13	-32	-13	-9	1
cpp-good	divergence	divergence.html	0	0	0	-1	-1	-1	-1	-1	-1	-2
cpp-good	dparen	dparen.html	0	-13	-13	-7	-3	-3	-10	-2	-4	1
cpp-good	empty-bodies	empty-bodies.html	0	0	0	2	1	1	2	2	2	2
cpp-good	errexit	errexit.html	0	-5	-4	-2	1	1	-21	-22	-20	1
cpp-good	errexit-osh	errexit-osh.html	0	-6	-1	-5	-5	-4	-4	-2	-2	20
cpp-good	exit-status	exit-status.html	0	-2	-2	-2	0	0	-1	-1	-3	1
cpp-good	explore-parsing	explore-parsing.html	0	0	0	1	1	1	-1	-1	0	1
cpp-good	extglob-files	extglob-files.html	0	-22	-22	-20	-4	-4	-20	-8	-3	-4
cpp-good	extglob-match	extglob-match.html	0	-29	-29	-27	-7	-3	-28	-6	-1	-4
cpp-good	fatal-errors	fatal-errors.html	0	0	0	2	5	5	0	0	3	5
cpp-good	for-expr	for-expr.html	0	-8	-8	0	-8	-8	-8	-5	-3	1
cpp-good	func-parsing	func-parsing.html	0	-1	-1	-7	-3	-3	2	-4	0	2
cpp-good	glob	glob.html	0	-7	-4	-11	-5	-3	-15	-7	-4	-2
cpp-good	glob-bash	glob-bash.html	0	-8	-8	-8	-8	-8	-8	-3	-6	-1
cpp-good	globignore	globignore.html	0	-14	-14	-14	-14	-14	-14	-14	-14	-14
