ROW_CSS_CLASS	name	name_HREF	bash	dash	ash	zsh	mksh	ksh	toysh	sush	brush	osh
cpp-good	TOTAL		-99	-1265	-1060	-988	-823	-786	-1437	-941	-699	0
cpp-good	alias	alias.html	4	-1	0	-4	-1	-2	-40	-11	-22	0
cpp-good	append	append.html	-4	-18	-18	-10	-7	-7	-15	-9	-11	0
cpp-good	arith	arith.html	-8	-42	-29	-26	-19	-18	-31	-11	-12	0
cpp-good	arith-context	arith-context.html	-1	-13	-10	-7	-6	-5	-8	-4	-8	0
cpp-good	arith-dynamic	arith-dynamic.html	3	-1	0	0	0	0	2	3	2	0
cpp-good	array	array.html	-13	-69	-69	-51	-35	-31	-68	-30	-29	0
cpp-good	array-assign	array-assign.html	8	-1	-1	1	6	6	0	6	0	0
cpp-good	array-assoc	array-assoc.html	-4	-38	-38	-28	-31	-31	-38	-27	-11	0
cpp-good	array-basic	array-basic.html	0	-5	-5	-3	0	0	-5	-1	0	0
cpp-good	array-compat	array-compat.html	5	-6	-6	-5	2	2	-7	3	2	0
cpp-good	array-literal	array-literal.html	-4	-8	-8	-8	-8	-8	-8	-6	-5	0
cpp-good	array-sparse	array-sparse.html	-17	-38	-38	-38	-32	-31	-38	-30	-23	0
cpp-good	assign	assign.html	-8	-22	-16	-9	-11	-10	-23	-21	-9	0
cpp-good	assign-deferred	assign-deferred.html	2	-3	-3	-3	2	2	-4	0	1	0
cpp-good	assign-dialects	assign-dialects.html	3	-1	-1	-1	0	2	-1	0	1	0
cpp-good	assign-extended	assign-extended.html	-13	-36	-36	-23	-29	-28	-35	-30	-18	0
cpp-good	background	background.html	0	-6	-4	-11	-3	-2	-14	-11	-14	0
cpp-good	ble-features	ble-features.html	4	-5	-5	-3	-3	-2	-5	-3	1	0
cpp-good	ble-idioms	ble-idioms.html	-1	-21	-19	-15	-15	-14	-24	-10	-9	0
cpp-good	ble-unset	ble-unset.html	-3	0	0	-1	1	-2	-1	-1	-3	0
cpp-good	blog1	blog1.html	3	2	3	2	1	2	-5	-3	-1	0
cpp-good	blog2	blog2.html	0	-3	-5	-3	-1	0	-1	-6	-1	0
cpp-good	brace-expansion	brace-expansion.html	-4	-42	-42	-12	-18	-18	-12	-8	-19	0
cpp-good	bugs	bugs.html	-5	-14	-13	-8	-9	-9	-14	-10	-8	0
cpp-good	builtin-bash	builtin-bash.html	4	-9	-8	-9	-9	-9	-8	-9	1	0
cpp-good	builtin-bind	builtin-bind.html	7	-2	-2	-2	-2	-2	-2	-1	-1	0
cpp-good	builtin-bracket	builtin-bracket.html	-3	-10	-8	-15	-7	-4	-12	-8	-10	0
cpp-good	builtin-cd	builtin-cd.html	3	-1	-1	0	-5	-5	-9	-6	-1	0
cpp-good	builtin-completion	builtin-completion.html	-6	-47	-47	-47	-46	-46	-47	-31	-19	0
cpp-good	builtin-dirs	builtin-dirs.html	0	-16	-16	-5	-16	-16	-16	-16	0	0
cpp-good	builtin-echo	builtin-echo.html	0	-18	-7	-6	-7	-6	-13	-5	-4	0
cpp-good	builtin-eval-source	builtin-eval-source.html	-3	-14	-10	-9	-10	-9	-13	-7	-8	0
cpp-good	builtin-getopts	builtin-getopts.html	1	-3	-1	-9	-4	-4	-21	-8	-14	0
cpp-good	builtin-history	builtin-history.html	-8	-8	-8	-8	-8	-8	-8	-8	-8	0
cpp-good	builtin-kill	builtin-kill.html	2	0	0	2	1	1	0	1	0	0
cpp-good	builtin-meta	builtin-meta.html	-2	-9	-9	-6	-4	-5	-16	-11	-6	0
cpp-good	builtin-meta-assign	builtin-meta-assign.html	-5	-10	-8	-7	-6	-6	-11	-11	-7	0
cpp-good	builtin-misc	builtin-misc.html	-4	-4	-3	-4	-4	-4	-5	-5	-4	0
cpp-good	builtin-printf	builtin-printf.html	11	-7	-9	-5	-8	-6	-8	-29	-7	0
cpp-good	builtin-process	builtin-process.html	-5	-9	-6	-6	-7	-7	-20	-18	-9	0
cpp-good	builtin-read	builtin-read.html	-3	-29	-7	-27	-16	-15	-44	-25	-13	0
cpp-good	builtin-special	builtin-special.html	-4	-3	-5	-3	-1	0	-6	-7	-3	0
cpp-good	builtin-times	builtin-times.html	0	0	0	0	0	0	-1	-1	0	0
cpp-good	builtin-trap	builtin-trap.html	2	-2	0	-6	-2	-1	-20	-7	-12	0
cpp-good	builtin-trap-bash	builtin-trap-bash.html	6	-15	-15	-12	-15	-15	-16	-15	-15	0
cpp-good	builtin-trap-err	builtin-trap-err.html	0	-17	-3	-9	-6	-5	-17	-17	-17	0
cpp-good	builtin-type	builtin-type.html	-2	-3	-3	-5	-4	-4	-6	-4	-4	0
cpp-good	builtin-type-bash	builtin-type-bash.html	0	-28	-27	-20	-23	-23	-28	-18	1	0
cpp-good	builtin-vars	builtin-vars.html	-2	-18	-16	-12	-12	-12	-18	-16	-12	0
cpp-good	case_	case_.html	2	-2	-2	-1	0	1	-7	0	-1	0
cpp-good	command_	command_.html	-2	-1	0	-2	-2	-2	-5	-4	-3	0
cpp-good	command-parsing	command-parsing.html	2	3	3	3	3	3	2	2	2	0
cpp-good	command-sub	command-sub.html	-1	-1	0	-6	-3	-3	-17	-2	-15	0
cpp-good	command-sub-ksh	command-sub-ksh.html	0	0	0	0	4	4	0	0	0	0
