ROW_CSS_CLASS	name	name_HREF	bash	dash	ash	zsh	mksh	ksh	toysh	sush	brush	osh
cpp-good	TOTAL		-109	-1329	-1116	-1057	-880	-836	-1532	-937	-747	0
cpp-good	alias	alias.html	4	-1	0	-3	-1	-2	-39	-12	-24	0
cpp-good	append	append.html	-4	-18	-18	-10	-7	-7	-15	-5	-11	0
cpp-good	arg-parse	arg-parse.html	0	-2	-2	-2	-2	-2	-1	-1	-2	0
cpp-good	arith	arith.html	-8	-42	-29	-26	-19	-18	-31	-11	-12	0
cpp-good	arith-context	arith-context.html	-1	-13	-10	-7	-6	-5	-8	-4	-8	0
cpp-good	arith-dynamic	arith-dynamic.html	3	-1	0	0	0	0	2	3	2	0
cpp-good	array	array.html	-13	-69	-69	-51	-35	-31	-68	-20	-29	0
cpp-good	array-assign	array-assign.html	8	-1	-1	1	6	6	0	8	0	0
cpp-good	array-assoc	array-assoc.html	-4	-38	-38	-28	-31	-31	-38	-12	-11	0
cpp-good	array-basic	array-basic.html	0	-5	-5	-3	0	0	-5	0	0	0
cpp-good	array-compat	array-compat.html	5	-6	-6	-5	2	2	-7	4	2	0
cpp-good	array-literal	array-literal.html	-7	-19	-19	-18	-19	-19	-19	-11	-14	0
cpp-good	array-sparse	array-sparse.html	-17	-38	-38	-38	-32	-31	-38	-27	-23	0
cpp-good	assign	assign.html	-11	-25	-19	-12	-14	-13	-26	-18	-11	0
cpp-good	assign-deferred	assign-deferred.html	2	-3	-3	-3	2	2	-4	-1	1	0
cpp-good	assign-dialects	assign-dialects.html	3	-1	-1	-1	0	2	-1	0	1	0
cpp-good	assign-extended	assign-extended.html	-13	-36	-36	-23	-29	-28	-35	-23	-17	0
cpp-good	background	background.html	-1	-6	-4	-11	-3	-2	-14	-10	-14	0
cpp-good	ble-features	ble-features.html	4	-5	-5	-3	-3	-2	-5	-2	1	0
cpp-good	ble-idioms	ble-idioms.html	4	-15	-13	-6	-3	-3	-19	-3	-1	0
cpp-good	ble-unset	ble-unset.html	-3	0	0	-1	1	-2	-1	-1	-3	0
cpp-good	blog1	blog1.html	3	2	3	2	1	2	-5	-3	-1	0
cpp-good	blog2	blog2.html	0	-3	-5	-3	-1	0	-1	-6	-1	0
cpp-good	brace-expansion	brace-expansion.html	-5	-43	-43	-13	-19	-19	-13	-9	-14	0
cpp-good	bugs	bugs.html	-5	-14	-13	-8	-9	-9	-14	-10	-8	0
cpp-good	builtin-bash	builtin-bash.html	4	-9	-8	-9	-9	-9	-8	-9	1	0
cpp-good	builtin-bind	builtin-bind.html	7	-2	-2	-2	-2	-2	-2	-1	-1	0
cpp-good	builtin-bracket	builtin-bracket.html	-3	-10	-8	-15	-7	-4	-12	-9	-10	0
cpp-good	builtin-cd	builtin-cd.html	1	-1	-1	-1	-6	-6	-11	-8	-2	0
cpp-good	builtin-completion	builtin-completion.html	-6	-48	-48	-48	-47	-47	-48	-32	-17	0
cpp-good	builtin-dirs	builtin-dirs.html	0	-16	-16	-5	-16	-16	-16	-16	0	0
cpp-good	builtin-echo	builtin-echo.html	0	-18	-7	-6	-7	-6	-13	-8	-4	0
cpp-good	builtin-eval-source	builtin-eval-source.html	-3	-14	-10	-9	-11	-10	-13	-8	-6	0
cpp-good	builtin-fc	builtin-fc.html	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
cpp-good	builtin-getopts	builtin-getopts.html	1	-3	-1	-9	-4	-4	-21	-8	-14	0
cpp-good	builtin-history	builtin-history.html	-2	-8	-8	-8	-8	-8	-8	-9	-8	0
cpp-good	builtin-kill	builtin-kill.html	3	-9	-4	-6	-6	-4	-12	-7	-10	0
cpp-good	builtin-meta	builtin-meta.html	-2	-10	-10	-6	-5	-5	-17	-10	-7	0
cpp-good	builtin-meta-assign	builtin-meta-assign.html	-5	-10	-8	-7	-6	-6	-11	-11	-7	0
cpp-good	builtin-misc	builtin-misc.html	-4	-4	-3	-4	-4	-4	-5	-5	-4	0
cpp-good	builtin-printf	builtin-printf.html	10	-9	-11	-10	-9	-7	-11	-34	-8	0
cpp-good	builtin-process	builtin-process.html	-4	-8	-5	-5	-6	-6	-19	-17	-7	0
cpp-good	builtin-read	builtin-read.html	-4	-41	-17	-42	-29	-27	-62	-37	-26	0
cpp-good	builtin-set	builtin-set.html	1	-2	-2	-6	-4	-4	-16	-8	-4	0
cpp-good	builtin-special	builtin-special.html	-4	-3	-5	-3	-1	0	-6	-6	-3	0
cpp-good	builtin-times	builtin-times.html	0	0	0	0	0	0	-1	-1	0	0
cpp-good	builtin-trap	builtin-trap.html	2	-4	-3	-12	-6	-4	-23	-13	-17	0
cpp-good	builtin-trap-bash	builtin-trap-bash.html	6	-15	-15	-12	-15	-15	-16	-15	-15	0
cpp-good	builtin-trap-err	builtin-trap-err.html	0	-17	-3	-9	-6	-5	-17	-17	-17	0
cpp-good	builtin-type	builtin-type.html	-2	-3	-3	-5	-4	-4	-6	-2	-4	0
cpp-good	builtin-type-bash	builtin-type-bash.html	0	-29	-28	-21	-24	-24	-29	-17	0	0
cpp-good	builtin-vars	builtin-vars.html	-2	-18	-16	-12	-12	-12	-18	-14	-10	0
cpp-good	case_	case_.html	2	-2	-2	-1	0	1	-7	0	-1	0
cpp-good	command_	command_.html	-2	-1	0	-2	-2	-2	-5	-5	-4	0
cpp-good	command-parsing	command-parsing.html	2	3	3	3	3	3	2	2	2	0
cpp-good	command-sub	command-sub.html	-1	-1	0	-6	-3	-3	-17	-2	-15	0
cpp-good	command-sub-ksh	command-sub-ksh.html	0	0	0	0	4	4	0	0	0	0
cpp-good	comments	comments.html	0	0	0	0	0	0	0	0	0	0
cpp-good	dbracket	dbracket.html	-1	-43	-30	-15	-14	-14	-33	-14	-10	0
